LOCALIDADE;CEP INICIAL
ITAGUAÇU;29690000
ITAPEMIRIM;29330000
ITARANA;29620000
IÚNA;29390000
JAGUARÉ;29950000
JERÔNIMO MONTEIRO;29550000
JOÃO NEIVA;29680000
LARANJA DA TERRA;29615000
LINHARES;29900001
MANTENÓPOLIS;29770000
MARATAÍZES;29345000
MARECHAL FLORIANO;29255000
MARILÂNDIA;29725000
MIMOSO DO SUL;29400000
MONTANHA;29890000
MUCURICI;29880000
MUNIZ FREIRE;29380000
MUQUI;29480000
NOVA VENÉCIA;29830000
PANCAS;29750000
PEDRO CANÁRIO;29970000
PINHEIROS;29980000
PIÚMA;29285000
PONTO BELO;29885000
PRESIDENTE KENNEDY;29350000
RIO BANANAL;29920000
RIO NOVO DO SUL;29290000
SANTA LEOPOLDINA;29640000
SANTA MARIA DE JETIBÁ;29645000
SANTA TERESA;29650000
SÃO DOMINGOS DO NORTE;29745000
SÃO GABRIEL DA PALHA;29780000
SÃO JOSÉ DO CALÇADO;29470000
SÃO MATEUS;29930001
SÃO ROQUE DO CANAÃ;29665000
SERRA;29160001
SOORETAMA;29927000
VARGEM ALTA;29295000
VENDA NOVA DO IMIGRANTE;29375000
VIANA;29130001
VILA PAVÃO;29843000
VILA VALÉRIO;29785000
VILA VELHA;29100001
VITÓRIA;29000001
ABADIA DE GOIÁS;75345000
ABADIÂNIA;72940000
ACREÚNA;75960000
ADELÂNDIA;76155000
ÁGUA FRIA DE GOIÁS;73780000
ÁGUA LIMPA;75665000
ÁGUAS LINDAS DE GOIÁS;72910001
ALEXÂNIA;72930000
ALOÂNDIA;75615000
ALTO HORIZONTE;76560000
ALTO PARAÍSO DE GOIÁS;73770000
ALVORADA DO NORTE;73950000
AMARALINA;76493000
AMERICANO DO BRASIL;76165000
AMORINÓPOLIS;76140000
ANÁPOLIS;75000001
ANHANGÜERA;75770000
ANICUNS;76170000
APARECIDA DE GOIÂNIA;74900001
APARECIDA DO RIO DOCE;75827000
APORÉ;75825000
ARAÇU;75410000
ARAGARÇAS;76240000
ARAGOIÂNIA;75360000
ARAGUAPAZ;76720000
ARENÓPOLIS;76235000
ARUANÃ;76710000
AURILÂNDIA;76120000
AVELINÓPOLIS;75395000
BALIZA;76250000
